Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
19	41497204	41524303	CYP2B6
1	55833139	55834447	GOT2P1
6	50880425	50880969	FTH1P5
12	112079950	112123790	BRAP
1	43312280	43318148	ZNF691
1	203136939	203144941	MYBPH
X	118967985	118986961	UPF3B
10	115594488	115614142	DCLRE1A
19	18529674	18545372	SSBP4
1	16944751	16971178	CROCCP2
HSCHR6_MHC_MCF	33346636	33350863	RING1
HSCHR6_MHC_QBL	32538584	32544863	HLA-DQA1
1	149553003	149553787	PPIAL4C
6	31644461	31651817	LY6G5C
19	42801185	42807698	PAFAH1B3
4	124317950	124324910	SPRY1
9	5890802	5910606	MLANA
5	37288239	37371283	NUP155
19	40353963	40440533	FCGBP
11	3412010	3412982	OR7E12P
15	93160673	93353114	FAM174B
1	149754227	149764074	FCGR1A
3	39850405	40301812	MYRIP
8	38268656	38326352	FGFR1
20	60963688	60982341	CABLES2
5	87678589	87678724	SNORA70
10	124690419	124713919	C10orf88
16	134273	188859	NPRL3
10	88195013	88281572	WAPAL
15	65134088	65160206	PLEKHO2
1	203148059	203155877	CHI3L1
X	48929385	48958108	WDR45
22	17660194	17702879	CECR1
HSCHR6_MHC_DBB	30839458	30858654	DDR1
HSCHR6_MHC_QBL	29523310	29600897	GABBR1
3	185361527	185542844	IGF2BP2
10	102767440	102790890	PDZD7
1	209441143	209441568	ATP5G2P1
6	33176272	33180499	RING1
11	3631131	3658789	TRPC2
1	43391052	43424530	SLC2A1
HSCHR6_MHC_COX	31752537	31762128	LSM2
4	145888264	146019693	ANAPC10
10	129705325	129884119	PTPRE
5	68790040	69006341	GUSBP3
17	26205340	26221778	LYRM9
17	73201754	73231853	NUP85
15	52121825	52239492	TMOD3
11	1244296	1283406	MUC5B
HSCHR6_MHC_MCF	33388442	33410197	VPS52
9	6011043	6015618	RANBP6
6	127004181	127004992	RPS4XP9
4	148999913	149365850	NR3C2
2	27530268	27531313	UCN
17	48838390	48844918	LINC00483
HSCHR6_MHC_QBL	32555534	32563145	HLA-DQB1
4	126237554	126414087	FAT4
1	161576081	161578007	HSPA7
6	19612986	19614267	KRT18P38
4	142142041	142155851	ZNF330
6	136172834	136516712	PDE7B
17	35849937	35873603	DUSP14
9	6215805	6257983	IL33
2	29072687	29093167	TRMT61B
6	138188351	138204449	TNFAIP3
HSCHR6_MHC_COX	31119738	31131037	POU5F1
1	17012116	17012550	EIF1AXP1
15	28356186	28567298	HERC2
2	25956622	26101385	ASXL2
19	41530172	41533625	CYP2A7P1
17	26368763	26523407	NLK
6	36322419	36356164	ETV7
2	20646835	20649200	RHOB
11	65421067	65430565	RELA
3	139074442	139108574	COPB2
10	70715884	70744829	DDX21
2	225334867	225450110	CUL3
16	67694849	67696681	PARD6A
X	153194695	153200676	NAA10
1	40538379	40563375	PPT1
1	149804221	149811339	HIST2H4A
2	20760208	20850849	HS1BP3
8	87354967	87490649	WWP1
20	57414773	57486247	GNAS
10	115614420	115676953	NHLRC2
6	128901258	128902029	EEF1DP5
16	28889726	28915830	ATP2A1
1	17081405	17096732	MST1L
12	113376157	113411054	OAS3
21	34106210	34144169	PAXBP1
3	128997671	129025029	HMCES
2	27532360	27548547	MPV17
HSCHR6_MHC_DBB	30142515	30171491	TRIM26
HSCHR6_MHC_DBB	32602484	32612425	HLA-DQB1
8	36746000	36746825	TPT1P8
19	46800303	46846690	HIF3A
1	203181955	203242769	CHIT1
15	41913422	42062141	MGA
19	15726029	15741448	CYP4F8
HSCHR6_MHC_SSTO	31697728	31720408	MSH5
3	130745694	131069309	NEK11
X	152927611	152928147	RPL18AP16
HSCHR6_MHC_QBL	31917249	31927920	SKIV2L
9	6413151	6507054	UHRF2
19	42829761	42882921	MEGF8
1	22004791	22110099	USP48
X	2746829	2800859	GYG2
17	37415384	37558776	FBXL20
19	18545198	18549111	ISYNA1
1	149822643	149823191	HIST2H2AA4
Y	26191376	26194166	CDY1B
17	65373575	65693372	PITPNC1
19	40476912	40487348	PSMC4
7	36429415	36493400	ANLN
12	66217911	66360075	HMGA2
15	52244303	52358462	MAPK6
8	145743376	145750557	LRRC14
5	39719086	39721615	INTS6P1
HSCHR6_MHC_QBL	33211032	33214569	ZBTB22
9	130159421	130170703	SLC2A8
8	62114909	62115779	NPM1P6
17	48260650	48278993	COL1A1
HSCHR6_MHC_QBL	32652598	32660056	HLA-DQB2
13	25457171	25497018	CENPJ
2	112656056	112787138	MERTK
22	25595817	25603330	CRYBB3
17	47006678	47022479	SNF8
Y	19664680	19691634	FAM224B
4	146019084	146050331	ABCE1
19	41594377	41602100	CYP2A13
6	25081548	25166793	CMAHP
22	25615489	25627836	CRYBB2
1	43629846	43736607	EBNA1BP2
17	34261522	34270703	LYZL6
HSCHR6_MHC_QBL	32718320	32735268	TAP2
1	149856010	149858232	HIST2H2BE
HG544_PATCH	17631958	17659376	PTPLA
7	134671259	134832715	AGBL3
X	153628622	153628756	SNORA70
HG104_HG975_PATCH	144915764	144923144	NRBP2
3	134316643	134979309	EPHB1
6	135281516	135424194	HBS1L
20	3667617	3687775	SIGLEC1
2	119981384	120023228	STEAP3
5	131593364	131609147	PDLIM4
10	79734907	79789303	POLR3A
1	203274619	203278730	BTG2
1	46049518	46084566	NASP
1	149858525	149858961	HIST2H2AC
HSCHR6_MHC_QBL	33215186	33225897	DAXX
22	25747385	25801344	LRP5L
HG544_PATCH	17686124	17757913	STAM
11	63304281	63313934	RARRES3
19	41620337	41634271	CYP2F1
12	112123857	112194903	ACAD10
6	33218049	33239824	VPS52
12	75874460	75897633	GLIPR1
1	203309756	203320617	FMOD
6	43263432	43273276	SLC22A7
1	149859440	149872351	BOLA1
6	7541808	7586950	DSP
12	121416346	121440315	HNF1A
10	90694831	90751147	ACTA2
15	52413117	52483566	GNB5
11	64513861	64527769	PYGM
4	142557752	142655140	IL15
6	143072604	143266338	HIVEP2
11	63320242	63330855	HRASLS2
20	61273797	61317137	SLCO4A1
11	63340667	63384355	PLA2G16
7	142478064	142482416	PRSS3P2
1	203444956	203460480	PRELP
3	160822484	160971320	NMD3
12	28286182	28732883	CCDC91
1	40627045	40706593	RLF
1	214778813	214782183	ABHD17AP3
22	25960816	26125261	ADRBK2
6	132929364	132930441	TAAR3
5	69711179	69743885	GTF2H2B
21	47649131	47679304	MCM3AP-AS1
9	6532464	6645650	GLDC
1	20969150	20978686	PINK1-AS
10	93806449	94050844	CPEB3
16	226679	227521	HBA1
X	153200716	153210232	RENBP
10	75556272	75561157	ZSWIM8-AS1
2	217730	266398	SH3YL1
17	72744791	72765492	SLC9A3R1
11	63391559	63439393	ATL3
3	11597544	11762220	VGLL4
2	20883788	21022882	C2orf43
6	34845555	34855866	TAF11
3	40351175	40353915	EIF1B
1	149874870	149889434	SV2A
6	26272421	26272768	HIST1H2APS4
6	155578643	155635627	TFB1M
X	2822011	2847392	ARSD
11	560404	564021	RASSF7
1	218023745	218023975	UBBP2
14	106667581	106668095	IGHV3-20
14	106691673	106692203	IGHV3-21
HSCHR6_MHC_MCF	33410160	33414664	RPS18
6	26421619	26432611	BTN2A3P
2	201717732	201729422	CLK1
14	95883831	95942173	SYNE3
11	65479467	65487075	KAT5
2	29117509	29171088	WDR43
18	21083473	21111746	C18orf8
15	42066632	42120053	MAPKBP1
HG104_HG975_PATCH	144940157	144955423	EPPK1
12	56615799	56623638	NABP2
19	41698954	41713444	CYP2S1
6	150263136	150270371	ULBP2
HSCHR6_MHC_DBB	32703042	32710500	HLA-DQB2
14	51710808	51710942	SNORA70
16	230452	231180	HBQ1
3	40428647	40470110	ENTPD3
6	50786436	50815326	TFAP2B
1	219782859	219786462	ZC3H11B
6	57179603	57513375	PRIM2
20	44746911	44758502	CD40
17	29036317	29117926	SUZ12P
17	60536019	60692842	TLK2
1	40723779	40759856	ZMPSTE24
13	25591541	25591675	LSP1
6	36410544	36458920	KCTD20
13	25670300	25673389	PABPC3
19	7733930	7735334	RETN
9	130186661	130207651	ZNF79
HSCHR6_MHC_COX	31954522	31957894	CYP21A2
12	54625181	54625260	MIR3198-2
1	22351681	22357716	LINC00339
17	33288549	33290205	ZNF830
1	203595689	203713209	ATP2B4
15	65255362	65282648	SPG21
11	9160372	9286937	DENND5A
10	94050920	94113721	MARCH5
2	26149471	26205618	KIF3C
1	70385005	70386000	PIN1P1
2	171458172	171458738	HMGB1P4
22	23165270	23165365	MIR650
19	7741514	7744712	C19orf59
9	132245730	132275947	LINC00963
5	33523640	33892297	ADAMTS12
HSCHR6_MHC_SSTO	31715897	31722583	MSH5-SAPCD1
6	24775159	24786327	GMNN
13	25802307	25862147	MTMR6
X	2852699	2886286	ARSE
9	130209953	130213684	RPL12
11	3022152	3078843	CARS
2	208972957	208977235	CRYGEP
14	106725201	106725733	IGHV3-23
2	70834750	70995357	ADD2
6	34857042	35059179	ANKS1A
4	155484108	155492238	FGB
20	61340189	61394123	NTSR1
HSCHR6_MHC_QBL	33288143	33306509	KIFC1
16	238968	279462	LUC7L
6	138409642	138428648	PERP
17	26646121	26655707	TMEM97
2	109150857	109303702	LIMS1
3	129033615	129035120	H1FX
22	23605323	23606541	FBXW4P1
6	150285143	150294846	ULBP1
17	3799886	3819794	P2RX1
HSCHR6_MHC_MCF	33415294	33416979	B3GALT4
10	7601232	7708961	ITIH5
8	11700033	11726957	CTSB
8	38291865	38293182	RPS20P22
HG544_PATCH	17851343	17953161	MRC1
HSCHR6_MHC_QBL	32737204	32741190	PSMB8
17	35874900	35969544	SYNRG
16	67708434	67753324	GFOD2
21	34162985	34186053	C21orf62
12	110436991	110477568	ANKRD13A
20	61427805	61431945	MRGBP
17	33307513	33332083	LIG3
22	18074902	18111584	ATP6V1E1
14	20724717	20774153	TTC5
7	36552456	36764154	AOAH
6	147525561	147706866	STXBP5
6	26402465	26415444	BTN3A1
21	34398153	34401504	OLIG2
19	7753644	7767032	FCER2
6	27325604	27339304	ZNF204P
4	73939093	74124515	ANKRD17
17	19641297	19652256	ALDH3A1
17	48712138	48769613	ABCC3
20	61436187	61445352	OGFR
20	44802372	44937137	CDH22
17	34303529	34308532	CCL16
10	124750322	124768333	IKZF5
6	155716504	155777037	NOX3
21	48110676	48111157	RPL23AP4
1	168867374	168867677	SUMO1P2
6	27375476	27375775	MCFD2P1
HSCHR6_MHC_MCF	33417262	33427651	WDR46
7	142985308	143004789	CASP2
X	2959512	3030767	ARSF
4	107236701	107270383	AIMP1
1	168907705	168908161	RPL29P7
7	134777115	134855547	C7orf49
4	68904262	68905368	GCOM2
19	41725108	41767671	AXL
11	63448918	63527363	RTN3
6	135957224	135957851	HMGB1P17
16	67757005	67840555	RANBP10
14	77253588	77292589	ANGEL1
8	39172110	39274897	ADAM5
15	52484519	52587995	MYO5C
10	121410882	121437331	BAG3
6	58446019	58447307	RBBP4P4
10	102790991	102800998	SFXN3
18	21086148	21166862	NPC1
7	150264365	150271041	GIMAP4
2	113914902	113966973	PSD4
13	25875662	25923938	NUPL1
17	34310327	34329100	CCL14
17	45771447	45789416	TBKBP1
X	3226606	3264682	MXRA5
6	27932953	27933292	RPLP2P1
5	110427414	110466200	WDR36
3	180585929	180700541	FXR1
1	119981624	119988709	HSD3BP2
5	90664541	90679176	ARRDC3
21	34602206	34637980	IFNAR2
1	149895209	149900236	SF3B4
9	6720863	7175648	KDM4C
7	150322463	150329473	GIMAP6
X	3522411	3631649	PRKX
1	120009844	120016426	HSD3BP1
11	86568101	86568989	OR7E2P
11	105480721	105852819	GRIA4
1	40766159	40783488	COL9A2
2	225629807	225907162	DOCK10
17	65713949	65740647	NOL11
14	106815722	106816253	IGHV3-33
2	175584505	175585526	H3F3AP4
4	159593277	159630775	ETFDH
5	96271098	96373219	LNPEP
14	106829594	106830076	IGHV4-34
7	1570350	1582679	MAFK
17	10619319	10619828	MAGOH2
4	128651533	128695448	SLC25A31
HSCHR6_MHC_QBL	32740623	32776073	PSMB9
4	142944313	143768585	INPP4B
HSCHR6_MHC_QBL	31927979	31930461	DXO
X	153213004	153237258	HCFC1
12	57125380	57146157	PRIM1
HSCHR6_MHC_DBB	30284507	30304844	TRIM39
6	143381633	143661441	AIG1
1	203734304	203745361	LAX1
3	129149787	129158878	MBD4
10	115803806	115806667	ADRB1
3	40498783	40503861	RPL14
2	120124497	120130126	DBI
7	107788068	108097161	NRCAM
5	125877533	125931110	ALDH7A1
Y	14813160	14972764	USP9Y
19	46850251	46896238	PPP5C
20	61447596	61472511	COL9A3
16	28915742	28947847	RABEP2
X	5758678	6146904	NLGN4X
HSCHR6_MHC_SSTO	31723322	31735062	VWA7
2	171784974	171823639	GORASP2
11	1295601	1330884	TOLLIP
6	66803324	66804802	NUFIP1P
X	71798664	71934167	PHKA1
19	18553473	18632937	ELL
4	146031990	146101313	OTUD4
10	121485609	121588652	INPP5F
4	159630286	159644548	PPID
HSCHR6_MHC_QBL	29105660	29106596	OR2N1P
4	128702976	128761888	HSPA4L
22	23732793	23744913	ZDHHC8P1
2	26256976	26360323	RAB10
17	79163393	79196799	AZI1
11	65554493	65564690	OVOL1
1	44686742	44820932	ERI3
HG104_HG975_PATCH	144997317	145058904	PLEC
6	136578001	136610989	BCLAF1
21	34638663	34669539	IL10RB
12	66516842	66524548	LLPH
1	203764782	203823252	ZC3H11A
13	25946209	26599989	ATP8A2
17	45810610	45823485	TBX21
X	6451659	6453159	VCX3A
11	65590493	65629497	CFL1
HSCHR6_MHC_QBL	32741696	32750465	TAP1
6	157099063	157531913	ARID1B
17	73584139	73622929	MYO15B
11	64532078	64546258	SF1
9	135957926	135962742	CELP
17	3827169	3867736	ATP2A3
1	28832492	28837404	SNHG3
10	35927177	35930362	FZD8
4	159690290	159829201	FNIP2
22	23980674	24059543	GUSBP11
12	66517697	66563765	TMBIM4
20	44978167	44993043	SLC35C2
1	43766664	43788779	TIE1
14	20779527	20801471	CCNB1IP1
17	26655352	26662515	IFT20
5	131630136	131679899	SLC22A4
X	6966961	7066231	HDHD1
21	34696734	34732168	IFNAR1
6	138537129	138539627	PBOV1
10	124768495	124817827	ACADSB
17	27046411	27051377	RPL23A
4	107842959	108204963	DKK2
2	68384976	68403370	PNO1
12	118451393	118470935	RFC5
17	72766686	72772506	NAT9
22	23991400	23995521	ASLP1
20	3734155	3749034	C20orf27
4	151185594	151936879	LRBA
22	18111621	18213388	BCL2L13
18	47808713	47814674	CXXC1
12	66517709	66563852	TMBIM4
17	34310692	34328660	CCL15-CCL14
HSCHR6_MHC_MCF	33427426	33436525	PFDN6
9	136125788	136150617	ABO
19	18642561	18654887	FKBP8
6	72054047	72130472	LINC00472
1	203830731	203839678	SNRPE
6	138724668	138743334	HEBP2
5	10353815	10440500	MARCH6
17	18174742	18218321	TOP3A
14	31343720	31364271	COCH
X	7137497	7272851	STS
1	22148738	22263790	HSPG2
11	612553	615999	IRF7
12	56347889	56367101	PMEL
10	23384435	23410942	MSRB2
6	44225903	44233500	NFKBIE
4	108511433	108641608	PAPSS1
5	17065707	17276943	BASP1
11	9302201	9336327	TMEM41B
1	149900543	149908791	MTMR11
2	175424300	175547644	WIPF1
4	17616254	17635728	MED28
HSCHR6_MHC_QBL	31929344	31939616	STK19
19	7804879	7812464	CD209
6	29105657	29106593	OR2N1P
22	26565440	26779562	SEZ6L
1	204042243	204096863	SOX13
1	84971974	85031877	SPATA1
3	164696686	164796283	SI
4	160025330	160281321	RAPGEF2
11	89371683	89431886	FOLH1B
10	28064115	28287977	ARMC4
HSCHR6_MHC_COX	31764773	31770218	HSPA1L
7	150419341	150447121	GIMAP5
9	130267618	130341268	FAM129B
5	131705444	131731306	SLC22A5
17	43513266	43568115	PLEKHM1
11	5263184	5264767	HBBP1
21	34775202	34851655	IFNGR2
8	145998499	146012730	ZNF34
5	19473060	20575982	CDH18
X	7866288	7895780	PNPLA4
HSCHR6_MHC_COX	31770617	31773099	HSPA1A
6	39760142	39872648	DAAM2
12	101786898	101801598	ARL1
2	74682150	74688011	INO80B
9	136217311	136217383	SNORD36A
3	139236276	139258671	RBP1
HSCHR6_MHC_COX	31782890	31785413	HSPA1B
10	94211441	94333833	IDE
11	9406169	9469673	IPO7
15	65345679	65369028	RASL12
5	134260338	134262149	MTND5P11
HSCHR6_MHC_MCF	33429778	33437523	RGL2
12	75890684	75905416	KRR1
17	55122839	55124158	RNF126P1
11	1411129	1483919	BRSK2
2	21224301	21266945	APOB
6	143757353	143757847	TUBB8P2
4	17802278	17812381	DCAF16
6	29694378	29716826	HLA-F-AS1
11	65624597	65635124	MUS81
6	36461669	36515247	STK38
HSCHR6_MHC_SSTO	31735249	31752710	VARS
6	143811652	143812504	VDAC1P8
10	102821598	102827888	KAZALD1
9	136890561	136899788	LINC00094
1	46092976	46153785	GPBP1L1
HSCHR6_MHC_COX	31789757	31794910	C6orf48
HSCHR6_MHC_QBL	29756937	29757911	HCG4
4	190903678	190906026	TUBB7P
19	42905659	42931578	LIPE
6	153019030	153045702	MYCT1
11	57520715	57587018	CTNND1
8	39308564	39380371	ADAM3A
4	17812525	17846485	NCAPG
6	153071933	153080900	VIP
X	8496915	8700227	KAL1
20	3758151	3762095	SPEF1
7	36893961	37488852	ELMO1
10	70748487	70776738	KIAA1279
6	43274872	43337216	ZNF318
X	48970334	48980151	GPKOW
2	215711671	215711805	SNORA70
6	44238203	44275243	TMEM151B
12	95228174	95228289	MIR492
6	29758816	29760850	HCG4
15	52599480	52821247	MYO5A
1	87099956	87121059	CLCA3P
13	26706253	26796791	RNF6
1	204100190	204121307	ETNK2
5	68462837	68474072	CCNB1
4	128802016	128820350	PLK4
7	150488373	150498448	TMEM176B
3	113161565	113234034	SPICE1
HSCHR6_MHC_COX	32965679	32976889	HLA-DPB1
5	79922047	79950802	DHFR
HSCHR6_MHC_DBB	32758669	32762954	HLA-DOB
12	55804263	55808633	PHC1P1
21	34804792	34852318	TMEM50B
15	94774767	95023632	MCTP2
6	36562145	36573377	SRSF3
19	40534167	40562116	ZNF780B
1	43803478	43818443	MPL
15	65409717	65426174	PDCD7
2	185463093	185804219	ZNF804A
8	142127377	142205907	DENND3
19	46969748	46974820	PNMAL1
17	37560538	37607539	MED1
7	1855429	2272878	MAD1L1
HSCHR6_MHC_QBL	32831136	32849631	HLA-DMB
HSCHR6_MHC_QBL	29932284	29935585	HCG9
12	110562140	110656602	IFT81
2	107103824	107123396	CD8BP
16	318300	325980	RGS11
15	72084977	72110600	NR2E3
6	29942889	29946183	HCG9
7	134832824	134850967	TMEM140
1	87595448	87634881	LINC01140
1	44870866	45117396	RNF220
X	49019061	49024822	MAGIX
15	28764757	28778160	GOLGA8G
1	46152886	46160115	TMEM69
16	67840668	67866051	TSNAXIP1
10	79793518	79816570	RPS24
2	129276362	129276751	ISCA1P6
17	45884738	45899200	OSBPL7
12	113416200	113449528	OAS2
5	170793122	170793256	SNORA70
6	153291664	153304714	FBXO5
6	29968788	30029417	ZNRD1-AS1
14	107034729	107035221	IGHV5-51
20	3764498	3767337	CENPB
HSCHR6_MHC_DBB	32767739	32784536	TAP2
3	139279022	139396859	NMNAT3
5	135465196	135470579	SMAD5-AS1
4	155504278	155511918	FGA
22	18216906	18257536	BID
13	26828276	26979375	CDK8
7	99578385	99585158	AZGP1P1
3	131181056	131221827	MRPL3
1	46159996	46216322	IPP
19	40575059	40596845	ZNF780A
X	119004497	119005791	RNF113A
12	121352203	121352926	CLIC1P1
5	70671613	70681820	PMCHL2
HSCHR6_MHC_QBL	29963880	29967239	HLA-J
HSCHR6_MHC_QBL	29523310	29527624	UBD
X	119005450	119010625	NDUFA1
21	34860497	34864027	DNAJC28
1	89282462	89282568	RNU6-125P
7	134868590	134896316	WDR91
6	157710418	157744633	TMEM242
1	40810522	40888998	SMAP2
HSCHR6_MHC_QBL	29555617	29556679	OR2H2
3	156257929	156272973	SSR3
1	43824626	43828874	CDC20
2	197627756	197664449	GTF3C3
14	95999840	96011061	GLRX5
6	29974360	29977733	HLA-J
6	36644305	36655116	CDKN1A
6	19837617	19840915	ID4
HSCHR6_MHC_QBL	29989038	29990327	ETF1P1
1	204123944	204135465	REN
11	65633912	65641063	EFEMP2
10	102889257	102897545	TLX1
2	44502599	44548633	SLC3A1
6	82473741	82473873	SNORA70
6	24797601	25042238	FAM65B
11	105946228	105969437	AASDHPPT
6	35085848	35116387	TCP11
14	96152754	96158980	TCL1B
6	29999490	30000780	ETF1P1
20	3767578	3786762	CDC25B
17	60704762	60770958	MRC2
11	9481866	9550071	ZNF143
5	33936491	33939023	RXFP3
19	43011456	43065386	CEACAM1
10	75668935	75677255	PLAU
10	102986733	102989551	LBX1
HSCHR6_MHC_QBL	31940194	31960852	C4A
15	72668454	72671129	HEXA-AS1
9	130374544	130457460	STXBP1
5	137136882	137146440	NPY6R
6	99990256	100016849	CCNC
HSCHR6_MHC_COX	31957379	32033845	TNXB
7	143013219	143049176	CLCN1
10	124895478	124897257	HMX3
5	21750782	22853731	CDH12
12	57145945	57181574	HSD17B6
17	7825177	7833121	KCNAB3
X	9431335	9687780	TBL1X
HSCHR6_MHC_QBL	30248086	30284424	HCG18
16	3160461	3165599	ZNF205-AS1
5	37379314	37753537	WDR70
7	75440983	75452674	CCL24
6	157802165	158099178	ZDHHC14
10	103113820	103317078	BTRC
6	85139302	85140520	SMARCE1P2
HSCHR6_MHC_QBL	29624680	29640072	MOG
11	106544738	106889250	GUCY1A2
1	46252659	46501796	MAST2
18	47901365	47920543	SKA1
9	8314246	10612723	PTPRD
1	204159469	204165614	KISS1
22	26839389	26879803	HPS4
6	153308497	153323820	MTRF1L
7	75471920	75518244	RHBDD2
10	124913793	124924886	BUB3
X	153237778	153248646	TMEM187
6	148593440	148873186	SASH1
10	32556679	32667726	EPC1
6	30255174	30294927	HCG18
16	28943260	28950667	CD19
16	3265562	3266546	OR1F2P
11	63606400	63678491	MARK2
22	24385938	24401899	GSTTP2
3	12194551	12200851	TIMP4
HSCHR6_MHC_QBL	32845119	32867240	HLA-DMA
2	216809213	216898819	MREG
2	68405989	68483369	PPP3R1
2	27548716	27579868	GTF3C2
20	61472467	61493115	TCFL5
21	34876238	34915797	GART
2	171847333	172087824	TLK1
8	87480486	87526586	RMDN1
1	149909705	149982625	OTUD7B
13	27131840	27263085	WASF3
14	96176304	96180533	TCL1A
3	156391024	156424559	TIPARP
5	133706870	133727683	UBE2B
1	204187979	204346793	PLEKHA6
1	43829068	43833696	ELOVL1
14	107081806	107083830	IGHV4-59
4	17842822	18023499	LCORL
10	23481256	23483181	PTF1A
4	155525286	155534119	FGG
22	24647796	24661493	POM121L9P
HSCHR6_MHC_SSTO	31817326	31822599	NEU1
8	146015150	146017972	RPL8
18	48086448	48258194	MAPK4
19	18668572	18680197	KXD1
11	65647280	65651212	CTSW
11	616565	626078	CDHR5
1	237718340	237718471	SNORA25
13	27329341	27334922	GPR12
HSCHR6_MHC_QBL	30590916	30591185	PTMAP1
7	140152840	140179369	MKRN1
6	153219182	153220415	TUBB4BP7
5	141000443	141016437	HDAC3
14	107198932	107199471	IGHV3-72
10	70847862	70864567	SRGN
11	6734767	6767670	GVINP1
X	110677655	110678252	HMGB1P12
2	109335937	109402267	RANBP2
12	29302036	29493913	FAR2
1	92590858	92592019	PRKAR1AP
X	153275951	153285431	IRAK1
13	27640293	27746033	USP12
1	145096220	145116922	SEC22B
X	9693386	9754337	GPR143
6	139094657	139114456	CCDC28A
HSCHR6_MHC_DBB	30303165	30304918	RPP21
3	113251143	113348425	SIDT1
19	41768401	41813503	HNRNPUL1
HSCHR6_MHC_QBL	30824355	30833288	DDR1-AS1
4	146402346	146479231	SMAD1
2	120197419	120282070	SCTR
X	110862905	110864717	EIF4BP7
12	121440225	121454305	C12orf43
17	40688190	40696467	NAGLU
6	39867354	39902290	MOCS1
6	154259568	154260127	HMGB3P19
12	121544846	121544977	SNORA70
15	42120283	42129779	JMJD7
12	66582659	66648402	IRAK3
4	132689295	132689404	SNORA70
3	12328867	12475855	PPARG
1	93303575	93303627	SNORA66
1	93306276	93306408	SNORA66
6	30601409	30601675	PTMAP1
1	204372515	204380919	PPP1R15B
19	45268207	45268357	SNORA70
20	61509090	61569304	DIDO1
16	318726	333003	ARHGDIG
2	68592305	68624585	PLEK
22	25028882	25046799	BCRP3
6	143771944	143811147	PEX3
8	67679632	67680240	PTTG3P
16	28962128	28978418	NFATC2IP
8	67833919	67838633	SNHG6
2	62095224	62115939	CCT4
7	150497491	150502208	TMEM176A
2	184472170	184472847	CACYBPP2
6	86796133	86796852	RPL7P27
11	65651212	65656010	FIBP
1	40915774	40929390	ZFP69B
6	30834759	30843695	DDR1-AS1
14	31363005	31495607	STRN3
7	99302660	99332819	CYP3A7
17	47035916	47045958	GIP
X	9754496	9917483	SHROOM2
19	47104331	47114050	CALM3
X	111933143	111933748	HMGB3P30
5	133860003	133918918	JADE2
17	34340096	34345005	CCL23
HSCHR6_MHC_SSTO	31822859	31838708	SLC44A4
1	204391756	204463852	PIK3C2B
7	75528518	75616173	POR
10	90750414	90775542	FAS
15	65440557	65477680	CLPX
1	183430009	183440881	SMG7-AS1
6	26440700	26453643	BTN3A3
17	26662628	26674035	TNFAIP1
6	44267391	44281063	AARS2
5	96496571	96518964	RIOK2
X	49028273	49031588	PLP2
16	333152	337215	PDIA2
HSCHR6_MHC_COX	31607608	31613401	APOM
3	171561139	171656505	TMEM212
2	74688184	74692537	MOGS
5	68530668	68573250	CDK7
12	82617460	82752584	CCDC59
HSCHR6_MHC_QBL	32865184	32878022	BRD2
17	65821640	65980494	BPTF
6	43395104	43418168	ABCC10
13	27825446	27830828	RPL21
4	20254883	20622184	SLIT2
6	31368479	31445283	HCP5
12	76419227	76427712	PHLDA1
22	26879843	26890624	SRRD
6	153325594	153452384	RGS17
X	9983602	10112518	WWC3
HSCHR6_MHC_MCF	33437818	33452509	TAPBP
17	67410839	67539472	MAP2K6
6	151186685	151423023	MTHFD1L
1	43849588	43855479	MED8
X	49031151	49042845	PRICKLE3
12	121458095	121477045	OASL
15	52839242	52862080	ARPP19
4	164031225	164088073	NAF1
2	26413504	26467594	HADHA
1	40974413	40982228	EXO5
16	67862060	67881714	CENPT
1	46505812	46642160	PIK3R3
HSCHR6_MHC_COX	31812978	31818226	NEU1
16	28985542	28995869	SPNS1
12	57345219	57353158	RDH16
1	45100910	45140227	TMEM53
17	19674142	19771249	ULK2
19	47123725	47128375	PTGIR
18	21269407	21535030	LAMA3
9	141044565	141071821	TUBBP5
